arm,policy_label,metric,policy,threshold,drop_truncated,conf,n_policies_reais,tp,fp,fn,precision,recall,f1,n_images,gt_total,pred_total,MAE,RMSE,MAPE,bias,bias_rel,R2,fit_r2,slope,intercept,latency_total_ms,latency_merge_ms,n_tiles,fold
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.27,24,3655,1560,2817,0.700862895493768,0.5647404202719407,0.625481304013006,66,6472.0,5215.0,20.71212121212121,23.079244250007736,0.21916835259317463,-19.045454545454547,-0.194221260815822,-1.7747176526302195,0.509825637449526,0.9585770936278708,-14.983499241811849,60.569249083288014,4.885600006673485,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.28,24,3615,1500,2857,0.7067448680351907,0.5585599505562423,0.6239751445585571,66,6472.0,5115.0,22.015151515151516,24.35376891994462,0.23233860523413047,-20.560606060606062,-0.20967243510506797,-2.0896408053537177,0.5088188045157868,0.957871524173527,-16.42946218865257,60.506050038849935,5.227799993008375,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.29,24,3568,1442,2904,0.7121756487025949,0.5512978986402967,0.621494513151019,66,6472.0,5010.0,23.515151515151516,25.644421686525973,0.24737773539353325,-22.151515151515152,-0.22589616810877627,-2.425795619250805,0.5059437562077717,0.9418778192881164,-16.452018885343794,59.85259910905734,4.332749958848581,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.3,24,3524,1375,2948,0.7193304756072668,0.5444993819530284,0.6198223551138862,66,6472.0,4899.0,24.954545454545453,27.072013951568866,0.26133657656249865,-23.833333333333332,-0.24304697156983932,-2.817831533931911,0.4966542840106686,0.9168360830610712,-15.678229235928114,59.47895115194842,4.227400000672787,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.31,24,3490,1338,2982,0.7228666114333057,0.5392459826946848,0.6176991150442478,66,6472.0,4828.0,25.90909090909091,27.935531843763766,0.2709260941261581,-24.90909090909091,-0.25401730531520395,-3.0652711539289452,0.5024901462897016,0.9131503795724489,-16.39256449383168,59.40639847051352,3.9994000107981265,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.32,24,3442,1290,3030,0.7273879966187659,0.5318294190358467,0.6144234202070689,66,6472.0,4732.0,27.333333333333332,29.169826668644912,0.28560975550109785,-26.363636363636363,-0.2688504326328801,-3.43244471444767,0.5047803417601965,0.9045328651860074,-17.002071264906682,59.66504979971796,3.9360000228043646,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.33,24,3402,1239,3070,0.7330316742081447,0.5256489493201484,0.612255916494196,66,6472.0,4641.0,28.651515151515152,30.369192922892744,0.2988360932464884,-27.742424242424242,-0.2829110012360939,-3.8044328895819683,0.5024642937932235,0.8891825439725236,-16.87559734227537,58.97195089585148,3.93284996971488,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.34,24,3364,1188,3108,0.7390158172231986,0.5197775030902348,0.6103047895500726,66,6472.0,4552.0,29.87878787878788,31.520075372929416,0.3113734368346021,-29.09090909090909,-0.29666254635352285,-4.175473927414841,0.5102186907708084,0.8862932968510079,-17.94076086696551,59.14664932829328,3.9223000057972968,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.35,24,3321,1150,3151,0.7427868485797361,0.5131334981458591,0.6069633555697707,66,6472.0,4471.0,31.045454545454547,32.67957382608509,0.3229220036581134,-30.318181818181817,-0.3091779975278121,-4.56324772423954,0.4972440688780806,0.8651333885032841,-17.093080157473572,59.04715083609335,3.888350009219721,6,1
C_tile640,ios-nmm@0.3-keep,ios,nmm,0.3,False,0.36,24,3274,1100,3198,0.7485139460448103,0.5058714462299134,0.6037248755301493,66,6472.0,4374.0,32.42424242424242,34.041863709974585,0.3366482153426508,-31.78787878787879,-0.3241656365883807,-5.036737446843115,0.4891121432494976,0.8471282127327784,-16.797178678886997,58.77775006857701,3.6414500209502876,6,1
