modelo,arm,conf,bias_ok,val_MAE,val_f1,MAE,MAPE,bias_rel,f1,precision,recall,AP,AP50,AP_small,R2,latency_ms,n_tiles,n_imgs,val_bias_ok
yolo26n_imgsz1280_90ep,C_tile640,0.22,,6.320987654320987,0.7962542565266743,24.386666666666667,0.3531273467000212,-0.4639421030225628,0.6361066459730614,0.9113722998729352,0.4885483184333759,0.255401713757508,0.5181935092349217,0.2345241478228116,0.0298061624372395,58.26209883112461,6,225,True
yolo26n_imgsz1280_90ep,D_tile320,0.35,,10.024691358024691,0.702656383890317,28.24,0.4213172634117413,-0.5386121753937846,0.556047541365649,0.8806052777265178,0.4063005534269902,0.2458313563955545,0.5139213556780735,0.2403535571027857,-0.2490729104112625,129.51410470111296,15,225,True
yolo26n_imgsz640_120ep,A_full640,0.21,,4.987654320987654,0.8044871794871794,33.21333333333333,0.5455740586379056,-0.6262239250744998,0.4649519677719244,0.8544419134396355,0.3193699446573009,0.2025081190483637,0.4386145253185801,0.158186543775411,-0.6469042327288936,18.188100262079388,1,225,True
yolo26n_imgsz640_120ep,B_full1280,0.45,,15.679012345679013,0.5508206161819752,37.48888888888889,0.601738113407377,-0.717667092379736,0.3829758980147401,0.8697225572979493,0.2455512984248616,0.234446000364666,0.4864193186976629,0.2218846349155673,-0.9624056659258204,23.503399215172976,1,225,True
yolo26n_imgsz640_120ep,C_tile640,0.49,,17.691358024691358,0.5272753169064235,37.14222222222222,0.5710697185879353,-0.7105151128139634,0.3940574447012215,0.8776470588235294,0.2540655598126862,0.1614323083965056,0.3649119109352003,0.1696180489319086,-0.9382734774991176,55.92240113392472,6,225,True
yolo26n_imgsz640_120ep,D_tile320,0.42,,20.444444444444443,0.0791654758502429,41.6,0.6997478542127167,-0.7891017454235845,0.0795949936717761,0.228502220427937,0.0481907194550872,0.0310595576788708,0.0869287198947949,0.0325990490587846,-1.181121422424734,126.68849737150596,15,225,True
yolo26n_tiles320_15ep,A_full640,0.05,,12.77777777777778,0.5088643986583613,41.693333333333335,0.6724593095854254,-0.7973605789697744,0.2487787610619469,0.7382352941176471,0.1495955725840783,0.0863067177584103,0.1955994556052491,0.0515563486326755,-1.0636580881214903,16.74840020155534,1,225,False
yolo26n_tiles320_15ep,B_full1280,0.19,,4.074074074074074,0.8019602190833094,24.93777777777778,0.3806567169028791,-0.4724563644103874,0.6049829998327851,0.8758876694641704,0.4620689655172413,0.3076716253882058,0.6317441553696849,0.2516307400505315,0.0564518625369133,25.461199446115643,1,225,True
yolo26n_tiles320_15ep,C_tile640,0.14,,4.234567901234568,0.7944291310024663,23.09777777777778,0.3516358954083161,-0.4407833120476798,0.6261125976082564,0.8728684531059683,0.4881226053639846,0.191948364458907,0.4270829031256759,0.149733107070115,0.2097760745881494,59.48330002604053,6,225,True
yolo26n_tiles320_15ep,D_tile320,0.16,,3.876543209876543,0.8280384727484699,26.6,0.4071442059451689,-0.5065134099616858,0.6072629838663702,0.9189095928226364,0.4534695615155385,0.2494442738696203,0.4872008335351687,0.2265000337245778,-0.1064311229701535,131.08359949896112,15,225,True
yolo26s_imgsz1280_200ep,A_full640,0.16,,4.518518518518518,0.7808891454965359,22.502222222222223,0.4142623723497183,-0.42579821200510853,0.6142030396451944,0.8419335705812574,0.48343976160068114,0.27679811533580084,0.5927183443306286,0.21791863675103368,0.2736044128845332,41.4452990652062,1,225,True
yolo26s_imgsz1280_200ep,B_full1280,0.17,,3.123456790123457,0.8332618945563652,15.075555555555555,0.29615262330140807,-0.2838654746700724,0.7382417146259178,0.8845559386517655,0.6334610472541508,0.38319697193613467,0.7417031324621071,0.3372183188182476,0.6651581469351873,111.11329895304516,1,225,True
yolo26s_imgsz1280_200ep_aug,A_full640,0.19,,5.617283950617284,0.7511285859909712,18.977777777777778,0.32645736262201785,-0.356747552149851,0.6066321243523316,0.7748510919920583,0.49842486164325245,0.2558268787692197,0.574190692100815,0.20456358357340174,0.4695066459477363,19.656499627046287,1,225,True
yolo26s_imgsz1280_200ep_aug,B_full1280,0.17,,4.0246913580246915,0.8208059445555872,12.626666666666667,0.27797327118739923,-0.18314176245210728,0.7519565115516191,0.8362518240567021,0.6830991911451681,0.39876161045961117,0.7623819657030761,0.3524354955807942,0.7457607706451552,40.351801759563386,1,225,True
